=== MEMORY SPIEL DETAILS ===
Spieler: Benjamin 2
Session-ID: session_1768584319903_1yno4y8lu
Datum: 2026-01-16
Zeitstempel: 2026-01-16 18:29:07

=== SPIEL ZUSAMMENFASSUNG ===
Spieler,Session-ID,Datum,Startzeit,Endzeit,Spieldauer(Sek),Gesamtrunden,Erfolgreiche,Erfolglose,Erfolgsrate(%),Paare,Abgeschlossen
"Benjamin 2","session_1768584319903_1yno4y8lu","16.1.2026","18:25:19","18:29:07",227,109,32,77,29.36,32,"Ja"

=== DETAILLIERTE RUNDEN ===
Runde,Ergebnis,Karte1,Karte2,Gefundene_Paare,Verbleibende_Karten,Theoretische_P(Paar)%,Zeitstempel
1,Fehlschlag,"🎻","🎿",0,64,1.59,"18:25:25"
2,Fehlschlag,"🎯","🏒",0,64,1.59,"18:25:27"
3,Fehlschlag,"⚾","🛹",0,64,1.59,"18:25:29"
4,Fehlschlag,"🎿","🥊",0,64,1.59,"18:25:31"
5,Erfolg,"🎿","🎿",1,62,1.59,"18:25:33"
6,Fehlschlag,"🎸","🏑",1,62,1.64,"18:25:40"
7,Fehlschlag,"🎯","🏒",1,62,1.64,"18:25:42"
8,Fehlschlag,"⚾","🛹",1,62,1.64,"18:25:44"
9,Fehlschlag,"🎻","🥊",1,62,1.64,"18:25:46"
10,Fehlschlag,"🎸","🏑",1,62,1.64,"18:25:48"
11,Fehlschlag,"🎻","🎪",1,62,1.64,"18:25:50"
12,Fehlschlag,"🥊","🎳",1,62,1.64,"18:25:52"
13,Fehlschlag,"🏑","🎸",1,62,1.64,"18:25:54"
14,Erfolg,"🥊","🥊",2,60,1.64,"18:25:55"
15,Fehlschlag,"🎱","🎳",2,60,1.69,"18:25:57"
16,Fehlschlag,"🎰","🎮",2,60,1.69,"18:25:59"
17,Fehlschlag,"🎨","🏓",2,60,1.69,"18:26:00"
18,Fehlschlag,"🎮","🎨",2,60,1.69,"18:26:02"
19,Fehlschlag,"🎰","🎮",2,60,1.69,"18:26:05"
20,Erfolg,"🎮","🎮",3,58,1.69,"18:26:06"
21,Fehlschlag,"🏓","🎹",3,58,1.75,"18:26:08"
22,Erfolg,"🎨","🎨",4,56,1.75,"18:26:10"
23,Fehlschlag,"🎹","🏉",4,56,1.82,"18:26:12"
24,Fehlschlag,"🏈","🏉",4,56,1.82,"18:26:14"
25,Fehlschlag,"🛹","🎰",4,56,1.82,"18:26:16"
26,Fehlschlag,"🎯","🛹",4,56,1.82,"18:26:18"
27,Fehlschlag,"🏈","🛹",4,56,1.82,"18:26:21"
28,Fehlschlag,"⚾","🛹",4,56,1.82,"18:26:23"
29,Erfolg,"🛹","🛹",5,54,1.82,"18:26:24"
30,Fehlschlag,"🎻","🥋",5,54,1.89,"18:26:27"
31,Fehlschlag,"🏀","🥋",5,54,1.89,"18:26:28"
32,Erfolg,"🥋","🥋",6,52,1.89,"18:26:30"
33,Fehlschlag,"🎱","🎳",6,52,1.96,"18:26:33"
34,Erfolg,"🎱","🎱",7,50,1.96,"18:26:34"
35,Fehlschlag,"🎾","🎨",7,50,2.04,"18:26:36"
36,Fehlschlag,"🏓","🎾",7,50,2.04,"18:26:38"
37,Fehlschlag,"🏉","🎹",7,50,2.04,"18:26:39"
38,Fehlschlag,"⚾","🏒",7,50,2.04,"18:26:41"
39,Fehlschlag,"🎸","🏑",7,50,2.04,"18:26:43"
40,Fehlschlag,"🎪","🎳",7,50,2.04,"18:26:45"
41,Fehlschlag,"🎰","🎯",7,50,2.04,"18:26:47"
42,Erfolg,"🎰","🎰",8,48,2.04,"18:26:48"
43,Fehlschlag,"🎻","🏈",8,48,2.13,"18:26:50"
44,Fehlschlag,"🏒","⚾",8,48,2.13,"18:26:52"
45,Fehlschlag,"🏉","🎹",8,48,2.13,"18:26:53"
46,Fehlschlag,"🎨","🎾",8,48,2.13,"18:26:55"
47,Fehlschlag,"🎮","🎺",8,48,2.13,"18:26:57"
48,Fehlschlag,"⚽","🏒",8,48,2.13,"18:26:58"
49,Fehlschlag,"⚾","🏉",8,48,2.13,"18:27:00"
50,Fehlschlag,"🏈","🏒",8,48,2.13,"18:27:02"
51,Fehlschlag,"🏒","⚽",8,48,2.13,"18:27:04"
52,Fehlschlag,"🎨","🏒",8,48,2.13,"18:27:07"
53,Erfolg,"🏒","🏒",9,46,2.13,"18:27:08"
54,Fehlschlag,"🎾","🎹",9,46,2.22,"18:27:11"
55,Fehlschlag,"🏓","🎨",9,46,2.22,"18:27:14"
56,Erfolg,"🎾","🎾",10,44,2.22,"18:27:15"
57,Fehlschlag,"🎯","🎲",10,44,2.33,"18:27:19"
58,Fehlschlag,"🎭","🏑",10,44,2.33,"18:27:20"
59,Fehlschlag,"🏈","🎹",10,44,2.33,"18:27:22"
60,Fehlschlag,"🎹","⚽",10,44,2.33,"18:27:24"
61,Fehlschlag,"🏀","🎯",10,44,2.33,"18:27:27"
62,Fehlschlag,"🎲","🎭",10,44,2.33,"18:27:29"
63,Fehlschlag,"🏈","🏉",10,44,2.33,"18:27:31"
64,Erfolg,"🏈","🏈",11,42,2.33,"18:27:33"
65,Fehlschlag,"🏀","🎹",11,42,2.44,"18:27:35"
66,Erfolg,"🎹","🎹",12,40,2.44,"18:27:37"
67,Fehlschlag,"🎪","🎭",12,40,2.56,"18:27:39"
68,Erfolg,"🎭","🎭",13,38,2.56,"18:27:40"
69,Fehlschlag,"🏓","🎳",13,38,2.70,"18:27:42"
70,Fehlschlag,"🎪","🎸",13,38,2.70,"18:27:44"
71,Erfolg,"🎪","🎪",14,36,2.70,"18:27:45"
72,Erfolg,"🎨","🎨",15,34,2.86,"18:27:48"
73,Erfolg,"🎲","🎲",16,32,3.03,"18:27:51"
74,Fehlschlag,"⚽","🎯",16,32,3.23,"18:27:53"
75,Fehlschlag,"🏀","🏉",16,32,3.23,"18:27:55"
76,Fehlschlag,"🎮","🎺",16,32,3.23,"18:27:57"
77,Fehlschlag,"🎻","⚾",16,32,3.23,"18:28:00"
78,Fehlschlag,"🎯","🎻",16,32,3.23,"18:28:02"
79,Erfolg,"🎻","🎻",17,30,3.23,"18:28:04"
80,Fehlschlag,"⚽","🎺",17,30,3.45,"18:28:06"
81,Fehlschlag,"🎺","🎮",17,30,3.45,"18:28:08"
82,Erfolg,"🎯","🎯",18,28,3.45,"18:28:10"
83,Fehlschlag,"🏐","🏓",18,28,3.70,"18:28:13"
84,Fehlschlag,"🎳","🏓",18,28,3.70,"18:28:15"
85,Erfolg,"🏓","🏓",19,26,3.70,"18:28:17"
86,Fehlschlag,"🎸","🏉",19,26,4.00,"18:28:19"
87,Fehlschlag,"⚾","🎸",19,26,4.00,"18:28:21"
88,Erfolg,"🎸","🎸",20,24,4.00,"18:28:23"
89,Fehlschlag,"🏸","🎯",20,24,4.35,"18:28:26"
90,Erfolg,"🏉","🏉",21,22,4.35,"18:28:28"
91,Erfolg,"🎳","🎳",22,20,4.76,"18:28:30"
92,Fehlschlag,"⚾","🏸",22,20,5.26,"18:28:32"
93,Erfolg,"🏸","🏸",23,18,5.26,"18:28:34"
94,Fehlschlag,"🎪","🏐",23,18,5.88,"18:28:36"
95,Erfolg,"🏐","🏐",24,16,5.88,"18:28:38"
96,Fehlschlag,"🎯","⚽",24,16,6.67,"18:28:41"
97,Erfolg,"⚽","⚽",25,14,6.67,"18:28:43"
98,Erfolg,"🎮","🎮",26,12,7.69,"18:28:45"
99,Fehlschlag,"🏀","⚾",26,12,9.09,"18:28:48"
100,Erfolg,"🏀","🏀",27,10,9.09,"18:28:49"
101,Fehlschlag,"🎪","⚾",27,10,11.11,"18:28:51"
102,Erfolg,"🎪","🎪",28,8,11.11,"18:28:52"
103,Erfolg,"⚾","⚾",29,6,14.29,"18:28:54"
104,Fehlschlag,"🎯","🏑",29,6,20.00,"18:28:56"
105,Fehlschlag,"🎺","🏑",29,6,20.00,"18:28:59"
106,Fehlschlag,"🎯","🎺",29,6,20.00,"18:29:02"
107,Erfolg,"🎺","🎺",30,4,20.00,"18:29:03"
108,Erfolg,"🏑","🏑",31,2,33.33,"18:29:05"
109,Erfolg,"🎯","🎯",32,0,100.00,"18:29:06"
